segment_ID,unclassified,bare_ground,water,clouds,sparse_grassland,open_grassland,dense_grassland,closed_grassland,sparse_shrubbed_grassland,open_shrubbed_grassland,dense_shrubbed_grassland,closed_shrubbed_grassland,open_treed_grassland,dense_treed_grassland,closed_treed_grassland,dense_shrubland,open_grassed_shrubland,dense_grassed_shrubland,closed_grassed_shrubland,open_treed_shrubland,dense_treed_shrubland,closed_treed_shrubland,dense_forest,open_grassed_woodland,dense_grassed_woodland,closed_grassed_woodland,dense_shrubbed_forest,closed_shrubbed_forest
68_10,0,0,0,0,0,9.80991952293527,13.9185290504259,7.02842234584432,0,0,0,0,17.0810154190191,26.0864403738112,0,0,1.46321935866819,0,0,0,0,0.496942423698632,0,23.6185690818989,0,0,0.496942423698632,0
68_11,0,0,0,0,0,8.51875871014031,3.02347080981882,23.1617291957004,0,0,0,0,19.3818387537427,23.0880465828653,0,0,0,0,2.11996191685179,0,0,0,0,20.7061940308804,0,0,0,0
68_12,0,0,0,0,0,21.279751628968,11.4106491289613,9.14818569270165,0,0,0,0,25.3646706570284,14.3628172655433,0,0,0,0,3.72031742436588,0,0,0,0,14.7136082024312,0,0,0,0
68_13,0,0,0,0,0,3.61734847418132,5.45860148702784,7.78522304037282,0,0,0,0,25.8628543977211,25.1745587370484,0,0,0,0.238266809129788,1.95417436271221,0,0,0.631696940079901,0,29.277275751728,0,0,0,0
68_14,0,0,0,0,0,9.64119865490905,3.93643396299343,2.83705957383367,0,0,0.634997763703528,0,38.4032843188681,27.5359878080433,0,0,1.04912674003192,0,0,0,0,0.609321767171168,0,15.2073681827469,0,0,0.145221227699155,0
68_15,0,0,0,0,1.22075053962723,11.0993968382562,6.88531048680206,3.46471198610564,0,0,0.852860717912294,0,60.1416625512578,1.90548061503632,0,0,1.36113685168436,0.4161649566911,0.91556290472042,0,0,0,0,11.736961551907,0,0,0,0
68_16,0,0,0,0,1.2632209638093,5.39656650217609,1.70509865273074,14.7611558166693,0,0,0.4160806863667,5.72055466329363,63.54744845454,0,0,0,0.440490753300213,4.41461608235068,0,0,0,0,0,2.3347674247656802,0,0,0,0
68_17,0,0,0,0,0,3.32993544002719,2.0547585700118,59.9385616690023,0,0,0,3.36363812160039,31.2526071234213,0,0,0,0,0.0604990759387716,0,0,0,0,0,0,0,0,0,0
68_18,0,0,0,0,0.249437380131481,5.79969624070154,10.0675698147512,36.5101493298451,0,0,13.8584636874605,11.8909570635123,21.3465738390073,0,0,0,0,0,0,0,0.277152644590535,0,0,0,0,0,0,0
68_19,0,0,0,0,0,5.86918221544012,20.9083720607612,38.1055698134149,0,0,0,0,35.1168759103836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68_2,0,0,0,0,0,0,6.46966706000422,1.21723259481456,0,0,6.67589355624913,0,9.35490808032913,16.3994177134223,0,0,0,0,0,0,0,0,0,29.0004631825044,0,1.2053773283192,29.677040484356,0
68_20,0,0,0,0,0,4.96835408083241,23.2263373576482,46.8470060640862,0,0,0,0.358985121447428,22.8596202489696,0,0,0,0.46944208189279,1.27025504512167,0,0,0,0,0,0,0,0,0,0
68_21,0,0,0,0,0,5.27949710665237,28.1870286409684,50.5881898433413,0,0,2.3370301586995,0.332797068295146,8.48053026770018,0,4.79492691434202,0,0,0,0,0,0,0,0,0,0,0,0,0
68_22,0,0,0,0,0,0,57.1535828640841,22.5248426631336,0,0,2.77602959037209,0,13.8591697029921,0,3.35513967097273,0,0,0.331235508446505,0,0,0,0,0,0,0,0,0,0
68_23,0,0,0,0,0,3.7022517199872,72.621282563799,17.0781199960246,0,0,0,2.23625942818019,3.78231532914426,0,0,0,0,0,0,0,0,0,0,0.579770962861529,0,0,0,0
68_24,0,0,0,0,0,15.9344937652555,39.8755812283933,39.9755359450409,0,0,0,0.461945416993406,0,1.51505947581759,0,0,0,0,0,0,0,0,0,2.23738416849825,0,0,0,0
68_25,0,0,0,0,1.38032702707925,20.9826272040373,37.2713143197892,23.1999845403375,0,0,3.56124372986449,4.08576800015461,0.451643003260333,7.13546253378352,0,0,0,0,0,0,0.303671945957436,0,0,1.62795769573727,0,0,0,0
68_26,0,0,0,0,1.98858222373207,20.0589946059706,37.7877575144942,19.0809988206602,0,0,1.82286703842107,8.18080631485329,1.98858222373207,8.87432436537985,0,0,0,0,0,0,0.217086892757418,0,0,0,0,0,0,0
68_27,0,0,0,0,0.551952532082241,19.4651579964122,31.145577480337,16.7713536635848,0,0,5.65006209465989,1.69890989374914,1.07630743756037,19.6307437560368,0,0,0,0,0,0,1.04650200082793,0,0,2.96343314474955,0,0,0,0
